"Data Engineering with Apache Spark, Delta Lake, and Lakehouse: Create scalable pipelines that ingest, curate, and aggregate complex data in a timely and secure way",28.99,Manoj Kukreja,3.8 out of 5 stars
"Causal Inference and Discovery in Python: Unlock the secrets of modern causal machine learning with DoWhy, EconML, PyTorch and more",41.99,Aleksander Molak,4.4 out of 5 stars
Storytelling with Data: Let's Practice!,25.13,Cole Nussbaumer Knaflic,4.7 out of 5 stars
"Learn Amazon SageMaker: A guide to building, training, and deploying machine learning models for developers and data scientists, 2nd Edition",37.99,Julien Simon,4.5 out of 5 stars
Python Data Science Handbook: Essential Tools for Working with Data,43.98,No Author,4.3 out of 5 stars
Data Feminism (Strong Ideas),20.99,Lauren F. Klein,4.8 out of 5 stars
Data Science (The MIT Press Essential Knowledge series),11.8,John D Kelleher,4.5 out of 5 stars
Business Intelligence Guidebook: From Data Integration to Analytics,40.01,Rick Sherman,4.4 out of 5 stars
Elements of Data Strategy: A Framework for Data and AI-Driven Transformation,16.13,Boyan Angelov,3.9 out of 5 stars
Data Quality Fundamentals: A Practitioner's Guide to Building Trustworthy Data Pipelines,37.44,No Author,4.1 out of 5 stars
"The Definitive Guide to Azure Data Engineering: Modern ELT, DevOps, and Analytics on the Azure Cloud Platform",37.99,Ron C. L'Esteve,4.1 out of 5 stars
Non-Invasive Data Governance: The Path of Least Resistance and Greatest Success,35.07,No Author,4.4 out of 5 stars
Learn Microsoft Fabric: A practical guide to performing data analytics in the era of artificial intelligence,37.99,Arshad Ali,4.5 out of 5 stars
Building Event–Driven Microservices: Leveraging Organizational Data at Scale,37.44,Adam Bellemare,4.5 out of 5 stars
"Python Machine Learning: Machine Learning and Deep Learning with Python, scikit-learn, and TensorFlow 2",39.99,Sebastian Raschka,4.5 out of 5 stars
Machine Learning Engineering with Python - Second Edition: Manage the lifecycle of machine learning models using MLOps with practical examples,37.99,No Author,4.5 out of 5 stars
Statistics and Data Analysis for Financial Engineering: with R examples (Springer Texts in Statistics),36.49,David Ruppert,4.4 out of 5 stars
Winning with Data Science: A Handbook for Business Leaders,20.79,Howard Steven Friedman,5.0 out of 5 stars
"Mathematical Properties of Sequences and Other Combinatorial Structures: 726 (The Springer International Series in Engineering and Computer Science, 726)",61.19,No Author,No Rating
An Introduction to Neural Data Compression (Foundations and Trends® in Computer Graphics and Vision),7.77,No Author,No Rating
Data Grab: The new Colonialism of Big Tech and how to fight back,19.21,Paperback,No Rating
Data Algorithms with Spark,38.39,Mahmoud Parsian,4.3 out of 5 stars
Computational Epidemiology: Data-Driven Modeling of COVID-19,6.28,No Author,No Rating
"ALFA ROMEO ALFETTA Gold Portfolio 1972-1987: Road Test Book: Road and Comparison Tests, Model Introductions, History. Design Analysis and Technical Data Articles (Brooklands Books Road Tests Series)",27.0,Brooklands Books Ltd,4.8 out of 5 stars
"A Common-Sense Guide to Data Structures and Algorithms, 2e: Level Up Your Core Programming Skills",27.53,No Author,4.8 out of 5 stars
Data Governance For Dummies (For Dummies (Computer/tech)),19.69,Jonathan Reichental,4.4 out of 5 stars
How Smart Machines Think,11.99,Sean Gerrish,4.3 out of 5 stars
Azure Data Factory by Example: Practical Implementation for Data Engineers,54.99,Richard Swinbank,No Rating
OpenStack in Action,32.52,No Author,3.6 out of 5 stars
Advanced Analytics with PySpark: Patterns for Learning from Data at Scale Using Python and Spark,41.23,Akash Tandon,4.0 out of 5 stars
The Data Vault Guru: a pragmatic guide on building a data vault,84.37,No Author,4.2 out of 5 stars
Beautiful Data: A History of Vision and Reason since 1945 (Experimental Futures),25.97,Orit Halpern,4.3 out of 5 stars
50 Days of Python : A Challenge a Day: The Ultimate Challenges Book for Python Beginners,7.89,Benjamin Bennett Alexander,4.4 out of 5 stars
Azure Data Engineering Cookbook: Design and implement batch and streaming analytics using Azure Cloud Services,28.99,Ahmad Osama,3.5 out of 5 stars
Applied Machine Learning and AI for Engineers: Solve Business Problems That Can't Be Solved Algorithmically,43.98,Jeff Prosise,4.4 out of 5 stars
Machine Learning Q and AI: 30 Essential Questions and Answers on Machine Learning and AI,44.15,Sebastian Raschka,No Rating
